表層形,品詞,読み,*,*,*,*,難易度スコア
簡単,形容詞,*,*,*,*,*,1
基本,名詞,*,*,*,*,*,2
わかりやすい,形容詞,*,*,*,*,*,1
難解,形容詞,*,*,*,*,*,3
複雑,形容詞,*,*,*,*,*,2
冗長,名詞,*,*,*,*,*,4
概念,名詞,*,*,*,*,*,3
認識,名詞,*,*,*,*,*,3
仮説,名詞,*,*,*,*,*,4
ニューラルネットワーク,名詞,*,*,*,*,*,5
エントロピー,名詞,*,*,*,*,*,5
わかる,動詞,*,*,*,*,*,1
できる,動詞,*,*,*,*,*,1
もう一回,副詞,*,*,*,*,*,2
みたいな,助詞,*,*,*,*,*,2
簡単に言うと,副詞,*,*,*,*,*,2
要するに,接続詞,*,*,*,*,*,3
逆に,接続詞,*,*,*,*,*,3
わからない,形容詞,*,*,*,*,*,1
なんとなく,副詞,*,*,*,*,*,2
だいたい,副詞,*,*,*,*,*,3
とりあえず,副詞,*,*,*,*,*,3
いまいち,副詞,*,*,*,*,*,3
難しい,形容詞,*,*,*,*,*,2
どういうこと,疑問詞,*,*,*,*,*,3
なるほど,感動詞,*,*,*,*,*,4
確かに,副詞,*,*,*,*,*,4
明確に,副詞,*,*,*,*,*,4
根拠として,接続詞,*,*,*,*,*,5
裏付ける,動詞,*,*,*,*,*,5
結論として,接続詞,*,*,*,*,*,5
なんか,副詞,*,*,*,*,*,2
うーん,感動詞,*,*,*,*,*,1
